[I] 2008-11-10 22:46:20.312 (0x1230):ErrorCode[0]_Visual IVR Editor Started...,Version:6.9.6
[E] 2008-11-10 22:47:24.688 (0x1230):ErrorCode[-2147467259]_Connect to Database failed! ConnectionString:DSN=MicroCall;UID=sa;PWD=pcs123456;Initial Catalog=dbCallcenter,[Microsoft][ODBC SQL Server Driver][DBNETLIB]SQL Server 不存在或访问被拒绝
[I] 2008-11-10 22:55:17.504 (0x1230):ErrorCode[0]_Callflow Closed!,Callflow ID:0 Callflow Name:
[I] 2008-11-10 22:55:17.528 (0x1230):ErrorCode[0]_Option changed successful! .
[I] 2008-11-10 22:55:19.344 (0x1230):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2008-11-10 22:55:34.184 (0x1230):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:108 Callflow Name:PowerDISA
[E] 2008-11-10 22:55:34.216 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[I] 2008-11-10 22:55:34.248 (0x1230):ErrorCode[0]_Open Resource Record...,Project ID:108
[E] 2008-11-10 22:55:34.248 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-10 22:55:34.264 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-10 22:55:34.264 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-10 22:55:34.264 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-10 22:55:34.280 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-10 22:55:34.280 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-10 22:55:34.280 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-10 22:55:34.296 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-10 22:55:34.296 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-10 22:55:34.296 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-10 22:55:34.312 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-10 22:55:34.312 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-10 22:55:34.328 (0x1230):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
