[I] 2008-11-17 11:34:45.048 (0x11F8):ErrorCode[0]_Visual IVR Editor Started...,Version:6.9.6
[I] 2008-11-17 11:34:46.312 (0x11F8):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2008-11-17 11:34:58.080 (0x11F8):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:108 Callflow Name:PowerDISA
[E] 2008-11-17 11:34:58.124 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[I] 2008-11-17 11:34:58.216 (0x11F8):ErrorCode[0]_Open Resource Record...,Project ID:108
[E] 2008-11-17 11:34:58.248 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.264 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.264 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.264 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.280 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.280 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.296 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.296 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.312 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.312 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.312 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.312 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.312 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.312 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.328 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.328 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.328 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.328 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.328 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.328 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.344 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.344 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.344 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.344 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.344 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.344 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.360 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.360 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.360 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.360 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.360 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.376 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.376 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.376 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.376 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.376 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.376 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.392 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.392 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.392 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.392 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.392 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.408 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.408 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.408 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.408 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.420 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.420 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.420 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.436 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.436 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.436 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.436 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.452 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.452 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.452 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.468 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.468 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.468 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.468 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.468 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.484 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.484 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.484 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.484 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.484 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.500 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.500 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.500 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.500 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.500 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.516 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.516 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.516 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.516 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.532 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.532 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.532 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.532 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.544 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.544 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.560 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
