[I] 2008-12-29 17:07:12.248 (0x0B38):ErrorCode[0]_Visual IVR Editor Started...,Version:6.9.6
[I] 2008-12-29 17:07:13.720 (0x0B38):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2008-12-29 17:07:30.920 (0x0B38):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:125 Callflow Name:大众主流程
[E] 2008-12-29 17:07:30.952 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[I] 2008-12-29 17:07:31.032 (0x0B38):ErrorCode[0]_Open Resource Record...,Project ID:12
[E] 2008-12-29 17:07:31.032 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.032 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.048 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.048 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.048 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.064 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.064 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.080 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.080 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.080 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.092 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.092 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.108 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.108 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.108 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.124 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.140 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.140 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.140 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.140 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.140 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.156 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.156 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.156 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.156 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.156 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.172 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.172 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.172 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.172 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.172 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.188 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.188 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.188 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.188 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.204 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.204 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.204 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.204 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.204 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.216 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.232 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.232 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.232 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.232 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.248 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.248 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.248 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.248 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.248 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.264 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.264 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.264 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.264 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.264 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.280 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.280 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.280 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.280 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.296 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.296 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.296 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.296 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.296 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.312 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.312 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.312 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.312 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.312 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.328 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.328 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.328 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.328 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.344 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.344 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.344 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.344 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.360 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.360 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.360 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.360 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.376 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.376 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.376 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.376 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.392 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.392 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.392 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.392 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.392 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.408 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.408 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.408 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.408 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
[E] 2008-12-29 17:07:31.420 (0x0B38):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 125,使用 Null 无效
