[I] 2009-03-11 14:55:36.968 (0x0AB0):ErrorCode[0]_Visual IVR Editor Started...,Version:6.9.6
[I] 2009-03-11 14:55:39.172 (0x0AB0):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2009-03-11 14:56:01.360 (0x0AB0):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:108 Callflow Name:PowerDISA
[E] 2009-03-11 14:56:01.392 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[I] 2009-03-11 14:56:01.484 (0x0AB0):ErrorCode[0]_Open Resource Record...,Project ID:108
[E] 2009-03-11 14:56:01.516 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.532 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.544 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.544 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.560 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.560 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.560 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.576 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.576 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.624 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.640 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.640 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.656 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.656 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.656 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.672 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.672 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.688 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.688 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.688 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.704 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.704 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.704 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.704 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.704 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.704 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.720 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.720 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.720 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.720 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.736 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.752 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.752 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.752 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.752 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.764 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.764 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.764 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.780 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.780 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.780 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.780 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.796 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
